CPUID/StorageTemperature/6/Sensor 1:;CPUID/StorageBandwidth/6/Read Rate:;CPUID/ProcessorCoreClockFrequency/0/7:;GPUZ/GpuCoreClock/0/0:;GPUZ/GpuLoad/0/7:;CPUID/ProcessorCoreClockFrequency/0/0:;GPUZ/VgaFanSpeedRPM/0/6:;GPUZ/SystemMemoryUsed/0/14:;CPUID/StorageBandwidth/6/Write Rate:;CPUID/ProcessorCoreClockFrequency/0/6:;CPUID/StorageBandwidth/4/Read Rate:;CPUID/TickCount:;GPUZ/GpuMemoryClock/0/1:;GPUZ/DedicatedMemoryUsed/0/9:;CPUID/ProcessorCoreClockFrequency/0/1:;CPUID/AllProcessorsUtilization:;CPUID/StorageBandwidth/5/Write Rate:;CPUID/ProcessorCoreClockFrequency/0/5:;CPUID/MultimediaTime:;CPUID/ProcessorCoreTemperature/0/0:;CPUID/StorageBandwidth/4/Write Rate:;CPUID/StorageUtilization/4/Activity:;CPUID/ProcessorCoreClockFrequency/0/2:;CPUID/AllProcessorsUtility/-1:;CPUID/StorageUtilization/5/Activity:;CPUID/StorageTemperature/6/Assembly:;CPUID/StorageUtilization/6/Activity:;CPUID/ProcessorCoreClockFrequency/0/4:;GPUZ/GpuTemperature/0/2:;CPUID/StorageTemperature/5/Assembly:;CPUID/StorageTemperature/4/Assembly:;SetupAPI/Setting/Tessellation:;CPUID/StorageBandwidth/5/Read Rate:;GPUZ/VgaFanSpeedPercent/0/5:;CPUID/ProcessorCoreClockFrequency/0/3:;CPUID/QPFFrequency:;CPUID/QPFCounter:;BM/Events:E;BM/FramesPerSecond:E;BM/FramesPerSecondAvgPerLoop:;BM/RunTimeSeconds:E
35.000000;0.000000;5223.400000;2598.000000;100.000000;5223.400000;1085.000000;16102.570000;0.000000;5223.400000;0.000000;44437625.000000;2505.000000;8052.230000;5223.400000;21.740000;0.040000;5223.400000;44437627.000000;61.000000;0.000000;0.110000;5223.400000;21.740000;0.020000;35.000000;0.000000;5223.400000;53.000000;37.000000;32.000000;0.000000;0.000000;22.000000;5223.400000;10000000.000000;444386788849.000000;;60.990058;63.757028;28.126000
35.000000;0.000000;5223.890000;2598.000000;100.000000;5223.890000;1085.000000;16036.080000;0.000000;5223.890000;0.000000;44438625.000000;2505.000000;8030.480000;5223.890000;22.270000;6.260000;5223.890000;44438627.000000;60.250000;0.000000;0.030000;5223.890000;22.270000;5.490000;35.000000;0.000000;5223.890000;53.000000;37.000000;32.000000;-1.000000;0.020000;22.000000;5223.890000;10000000.000000;444396780029.000000;;61.264220;63.757028;29.126000
35.000000;0.000000;5223.690000;2588.000000;100.000000;5223.690000;1126.000000;16036.080000;0.000000;5223.690000;0.000000;44439625.000000;2505.000000;8030.480000;5223.690000;23.390000;6.240000;5223.690000;44439628.000000;59.880000;0.000000;0.000000;5223.690000;23.390000;5.020000;35.000000;0.000000;5223.690000;53.000000;37.000000;32.000000;-1.000000;0.090000;22.000000;5223.690000;10000000.000000;444406796518.000000;;61.418552;63.757028;30.126000
35.000000;0.000000;2614.761540;2588.000000;100.000000;5224.309380;1126.000000;16037.568510;0.000000;5224.309380;0.000000;44440716.907000;2505.000000;8047.972490;5224.309380;21.312080;5.490750;2614.761540;44440720.906000;59.380500;0.000000;0.109890;5224.309380;21.312080;4.920100;35.000000;0.069930;5224.309380;53.000000;37.000000;32.000000;-1.000000;0.000090;22.000000;5224.309380;10000000.000000;444417731739.832030;;64.807293;63.757028;31.126000
35.999000;0.000000;5220.698840;2546.042000;100.000000;5223.311000;1159.966000;16037.570000;0.000000;2614.272650;0.000000;44441624.093000;2505.000000;8047.990000;5223.311000;22.798510;0.095400;5220.698840;44441626.095000;59.250130;0.000000;0.000110;5223.311000;22.798510;0.394530;35.999000;0.000070;5223.311000;53.000000;43.993000;28.004000;-1.000000;0.029970;22.999000;5223.311000;10000000.000000;444426781434.204000;;71.071282;63.757028;32.126000
36.000000;0.000000;5223.290020;2546.000000;100.000000;5223.290020;1160.000000;16037.570000;0.000000;5220.678370;0.000000;44442624.000000;2505.000000;8047.990000;5223.290020;22.170630;7.612470;5223.290020;44442622.004000;58.880370;0.000000;0.049950;5223.290020;22.170630;11.968410;36.000000;0.000000;5223.290020;53.000000;44.000000;28.000000;-1.000000;0.000030;23.000000;5223.290020;10000000.000000;444436737044.481000;;71.909539;63.757028;33.126000
36.000000;0.000000;5223.729560;2546.000000;100.000000;5223.729560;1160.000000;16037.570000;0.000000;2614.471430;0.000000;44443608.016000;2505.000000;8047.990000;5223.729560;22.379790;5.302320;5223.729560;44443613.009000;58.630250;0.000000;0.000050;5223.729560;22.379790;0.771220;36.000000;0.079920;2614.471430;53.000000;44.000000;28.000000;-1.000000;0.059940;23.000000;5223.729560;10000000.000000;444446653029.055970;;70.308340;63.757028;34.126000
36.000000;0.000000;5223.690040;2552.993000;100.000000;5223.690040;1207.952000;16019.877710;0.000000;5221.078170;0.000000;44444638.969000;2505.000000;8099.298640;5223.690040;26.296080;7.937360;5223.690040;44444639.973000;58.630000;0.000000;0.099900;5223.690040;26.296080;11.589160;36.000000;0.040040;5221.078170;53.999000;44.000000;28.000000;-1.000000;0.079980;23.999000;5223.690040;10000000.000000;444456922766.908000;;65.834291;63.757028;35.126000
36.000000;0.000000;5223.240000;2553.000000;100.000000;5223.240000;1208.000000;16019.860000;0.000000;5223.240000;0.000000;44445625.000000;2505.000000;8099.350000;5223.240000;24.350000;0.060000;5223.240000;44445632.000000;59.000000;0.000000;0.000000;5223.240000;24.350000;0.070000;36.000000;0.000000;5223.240000;54.000000;44.000000;28.000000;-1.000000;0.000000;24.000000;5223.240000;10000000.000000;444466835719.000000;;65.230434;63.757028;36.126000
36.000000;0.000000;5223.210030;2581.971000;100.000000;5223.210030;1233.974000;16013.126740;0.000000;2614.221630;0.000000;44446669.954000;2505.000000;8102.596750;5223.210030;19.814540;6.313740;5223.210030;44446678.952000;58.750250;0.000000;0.059940;5223.210030;19.814540;6.293770;36.000000;0.000000;5223.210030;54.000000;44.000000;28.000000;-1.000000;0.049950;24.000000;2614.221630;10000000.000000;444477302444.797000;;66.853137;63.757028;37.126000
36.000000;0.000000;5223.030180;2582.000000;100.000000;5223.030180;1234.000000;16013.120000;0.000000;2611.510100;0.000000;44447608.062000;2505.000000;8102.600000;5223.030180;20.439370;4.741580;5223.030180;44447611.068000;58.500250;0.000000;0.000060;5223.030180;20.439370;5.800500;36.000000;0.000000;5223.030180;54.000000;44.000000;28.000000;0.000000;0.000050;24.000000;5220.418580;10000000.000000;444486625401.199040;;64.192461;63.757028;38.126000
